name,ingredients,preparation,garnish,url
Brandy Crusta,52.5 ml Brandy; 7.5 ml MaraschinoLuxardo; 1 Bar Spoon Curacao; 15 ml Fresh Lemon Juice; 1 Bar Spoon Simple Syrup; 2 Dashes Aromatic Bitters,"Mix together all ingredients with ice cubes in a mixing
glass and strain into a prepared slim cocktail glass.","Rub a slice of orange (or lemon) around the rim of the glass and dip it in
pulverized white sugar, so that the sugar will adhere to the edge of the glass.
Carefully curling place the orange/lemon peel around the inside of the glass.",https://iba-world.com/iba-cocktail/brandy-crusta/
Sherry Cobbler,45 ml Amontillado sherry; 45 ml Palo Cortado; 1 tsp Superfine Sugar (or granulated); 1/2  Orange Wheel; 1/2  Lemon Wheel,"Combine sherry, sugar and 2 quarter wheels each of orange and lemon in a shaker with ice, shake briskly, strain into a Julep cocktail cup filled with crushed ice.","Garnish with fresh berries, ¼ wheel each orange and lemon. Serve with straws.",https://iba-world.com/iba-cocktail/sherry-cobbler/
Manhattan,50 ml Rye Whiskey; 20 ml Sweet Red Vermouth; 1 dash Angostura Bitters,"Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain into chilled cocktail glass.",Garnish with cocktail cherry.,https://iba-world.com/iba-cocktail/manhattan/
Mimosa,75 ml Freshly Squeezed  Orange Juice; 75 ml Prosecco,"Pour orange juice into flute glass and gently pour the sparkling wine.
Stir gently.
NOTE:Also known as Buck’s Fizz.",Garnish with orange twist (optional).,https://iba-world.com/iba-cocktail/mimosa/
Ve.N.To,45 ml White Smooth Grappa; 22.5 ml Fresh lemon Juice; 15 ml Honey mix (replace water with chamomile)*; 15 ml Chamomile cordial; Few Drops of Egg White (Optional),"Pour all ingredients into the shaker. Shake vigorously with ice.
Strain into a chilled small tumbler glass filled with ice.
NOTE:*If desired water can be replaced by chamomile infusion in the honey mix.",Garnish with lemon zest and white grapes.,https://iba-world.com/iba-cocktail/ve-n-to/
Penicillin,60 ml Blended scotch whisky; 7.5 ml Lagavulin 16y; 22.5 ml Fresh lemon juice; 22.5 ml Honey syrup; 2-3 quarter size sliced fresh ginger,"Muddle fresh ginger in a shaker and add the remaining ingredients except for the Islay single malt whisky.
Fill the shaker with ice and shake.
Fine train into a chilled Old Fashioned glass with ice.
Float the single malt whisky on top.",Garnish with candied ginger slices.,https://iba-world.com/iba-cocktail/penicillin/
Dark ‘N’ Stormy,60 ml Goslings Rum; 100 ml Ginger Beer,In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,Garnish with a lime wedge or slice.,https://iba-world.com/iba-cocktail/dark-n-stormy/
Singapore Sling,30 ml Gin; 15 ml Cherry Sangue Morlacco; 7.5 ml Cointreau; 7.5 ml DOM Bénédictine; 120 ml Fresh Pineapple Juice; 15 ml Fresh Lime Juice; 10 ml Grenadine Syrup; A dash of Angostura bitters,"Pour all ingredients into cocktail shaker filled with ice cubes.
Shake well.
Strain into Hurricane glass.",Garnish with pineapple and maraschino cherry.,https://iba-world.com/iba-cocktail/singapore-sling/
South Side,60 ml London dry Gin; 30 ml Fresh Lemon  Juice; 15 ml Simple syrup; 5/6 Mint leaves; Few drops Egg white (Optional),"Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.
Note:If egg white is used shake vigorously.",Garnish with mint springs.,https://iba-world.com/iba-cocktail/south-side/
Don’s Special Daiquiri,30 ml Gold Jamaican Rum; 15 ml Cuban Rum; 15 ml Passion Fruit Syrup; 15 ml Fresh lime juice; 15 ml Honey Syrup,"Blend for a few seconds in a milkshake mixer with  crushed ice and pour into a footed copo glass.
Fill the glass with more crushed ice.",Garnish with 1/2 passion fruit,https://iba-world.com/iba-cocktail/dons-special-daiquiri/
Corpse Reviver #2,30 ml Gin; 30 ml Cointreau; 30 ml Lillet Blanc; 30 ml Fresh Lemon Juice; 1 dash Absinthe,"Pour all ingredients into shaker with ice.
Shake well and strain in chilled cocktail glass.",Garnish with an orange zest.,https://iba-world.com/iba-cocktail/corpse-reviver-2/
Pina Colada,50 ml White Rum; 30 ml Coconut Cream; 50 ml Fresh Pineapple Juice,"Blend all the ingredients with ice in a electric blender,
pour into a large glass and serve with straws.
Note:Historically a few drops of fresh lime juice was added to taste. 4 slices of fresh pineapple can be used instead of juice",Garnish with a slice of pineapple with a cocktail cherry.,https://iba-world.com/iba-cocktail/pina-colada/
Naked and Famous,22.5 ml Mezcal; 22.5 ml Yellow Chartreuse; 22.5 ml Aperol; 22.5 ml Fresh Lime Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/naked-and-famous/
Stinger,50 ml Cognac; 20 ml White Crème de Menthe,"Pour all ingredients into mixing glass with ice cubes. Stir well.
Strain into chilled martini cocktail glass.",Optional mint leave.,https://iba-world.com/iba-cocktail/stinger/
